Burek,Mieszaniec,5,Samiec,Czarny,Uwielbia gumowe piłki i długie spacery. Najchętniej je suchą karmę z dodatkiem kurczaka. Nie lubi głośnych dźwięków.
Luna,Golden,2,Samica,Złoty,Radosna i energiczna. Kocha pluszowe zabawki i kontakt z ludźmi. Boi się samotności.
Reks,Owczarek,4,Samiec,Czarny,Czujny i inteligentny pies stróżujący. Uwielbia aportowanie i szkolenia.
Azor,Mieszaniec,8,Samiec,Brązowy,Spokojny senior. Lubi drzemki i krótkie spacery. Nie przepada za zimnem.
Sonia,Labrador,3,Samica,Biszkoptowy,Towarzyska i łagodna. Uwielbia wodę i zabawy patykami.
Burek,Mieszaniec,2,Samiec,Czarny,Pełen energii i ciekawski. Kocha bieganie i gryzaki.
Luna,Beagle,3,Samica,Biały,Ma świetny węch i uwielbia tropienie zapachów. Bywa uparta.
Max,Mieszaniec,4,Samiec,Brązowy,Aktywny pies rodzinny. Lubi frisbee i zabawy z dziećmi.
Kora,Owczarek,5,Samica,Szary,Posłuszna i bardzo bystra. Lubi zadania i zabawki edukacyjne.
Fafik,Mieszaniec,1,Samiec,Kremowy,Młody i rozbrykany szczeniak. Uwielbia smakołyki i gonitwy.
Burek,Beagle,3,Samiec,Biały,Radosny i ciekawski. Kocha spacery i węszenie.
Luna,Mieszaniec,1,Samica,Szary,Delikatna i nieśmiała. Lubi ciszę i miękkie legowiska.
Max,Owczarek,2,Samiec,Czarny,Pełen energii. Idealny do nauki komend i aktywności.
Kora,Mieszaniec,4,Samica,Brązowy,Zrównoważona i spokojna. Lubi długie spacery.
Fafik,Labrador,5,Samiec,Kremowy,Wiecznie głodny i zawsze chętny do zabawy. Kocha wodę.
Burek,Mieszaniec,1,Samiec,Brązowy,Energiczny młodzik. Uwielbia aportowanie patyków.
Luna,Owczarek,2,Samica,Biały,Czujna i lojalna. Lubi treningi i zadania.
Max,Mieszaniec,3,Samiec,Czarny,Bardzo przyjacielski. Uwielbia zabawki dźwiękowe.
Kora,Labrador,4,Samica,Kremowy,Spokojna i łagodna. Lubi dzieci i długie spacery.
Fafik,Mieszaniec,2,Samiec,Szary,Ciekawski i wesoły. Uwielbia bieganie po trawie.
Burek,Owczarek,5,Samiec,Biały,Silny i opiekuńczy. Lubi pilnować domu.
Luna,Mieszaniec,1,Samica,Brązowy,Pełna energii i radości. Kocha zabawy z innymi psami.
Max,Labrador,2,Samiec,Szary,Przyjazny i bardzo łakomy. Uwielbia smakołyki.
Kora,Mieszaniec,3,Samica,Czarny,Sprytna i niezależna. Lubi zabawki logiczne.
Fafik,Husky,4,Samiec,Biały,Aktywny i wytrzymały. Uwielbia bieganie i chłód.
Burek,Mieszaniec,2,Samiec,Brązowy,Radosny i kontaktowy. Kocha piłki.
Luna,Labrador,5,Samica,Czarny,Spokojna i cierpliwa. Lubi głaskanie.
Max,Mieszaniec,1,Samiec,Kremowy,Szczeniak pełen energii. Gryzie zabawki.
Kora,Husky,3,Samica,Szary,Niezależna i aktywna. Lubi długie spacery.
Fafik,Mieszaniec,4,Samiec,Biały,Wesoły i ciekawski. Uwielbia aportowanie.
Dolly,Husky,1,Samica,Szary,Bardzo energiczna i ciekawa świata. Kocha bieganie.
Ginger,Labrador,2,Samica,Rudy,Przyjazna i łagodna. Uwielbia jedzenie.
Puszek,Mops,3,Samiec,Beżowy,Leniwy i uroczy. Kocha spać i jeść.
Morelka,Mieszaniec,4,Samica,Beżowy,Spokojna i łagodna. Lubi ciszę.
Reks,Retriever,5,Samiec,Złoty,Posłuszny i rodzinny. Uwielbia aportować.
Karmel,Jmnik,6,Samiec,Brązowy,Uparty, ale uroczy. Lubi kopać w ogrodzie.
Gucio,Mieszaniec,7,Samiec,Czarny,Spokojny domator. Uwielbia wygodne legowiska.
Bruno,Doberman,8,Samiec,Czarny,Pewny siebie i czujny. Lubi pilnować domu.
Pluto,Terrier,9,Samiec,Brązowy,Energiczny mimo wieku. Uwielbia zabawki.
Sid,Mieszaniec,10,Samiec,Złoty,Spokojny senior. Lubi krótkie spacery.
Rudy,Chihuahua,11,Samiec,Rudy,Mały, ale odważny. Lubi ciepło.
Alfa,Husky,12,Samiec,Szary,Dostojny i spokojny. Lubi chłodne dni.
Bonifacy,Buldog,13,Samiec,Beżowy,Leniwy i kochany. Uwielbia spać.
Bobi,MIeszaniec,14,Samiec,Czarny,Najstarszy w stadzie. Lubi spokój i ciszę.
Cola,Schipperke,4,Samica,Czarny,Czujna i energiczna. Lubi pilnować.
Cukierek,Pudel,4,Samiec,Biały,Inteligentny i elegancki. Lubi zabawki logiczne.
Chrupek,Mieszaniec,6,Samiec,Rudy,Wesoły i łakomy. Uwielbia smakołyki.
Gary,Mieszaniec,1,Samiec,Brązowy,Ciekawski szczeniak. Gryzie wszystko.
Iskierka,Szpic,2,Samica,Biały,Żywa i radosna. Uwielbia zabawę.
Lola,Pudel,3,Samica,Biały,Przyjazna i spokojna. Lubi ludzi.
Marianna,Szpic,7,Samica,Złoty,Dumna i niezależna. Lubi obserwować otoczenie.
